Raw Filename,SamplerType,windowSize,sample_size ,parallel_count,cluster_centers,time taken
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=21.'] time: 0.24717283248901367",WillsSampler,30,40,4,21,0.2471728325
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=31.'] time: 0.3173696994781494",WillsSampler,30,40,4,31,0.3173696995
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=41.'] time: 0.41375303268432617",WillsSampler,30,40,4,41,0.4137530327
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=51.'] time: 0.49443507194519043",WillsSampler,30,40,4,51,0.4944350719
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=6.'] time: 0.12099099159240723",WillsSampler,30,40,4,6,0.1209909916
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=4.'] time: 0.10384726524353027",WillsSampler,30,40,4,0,0.1038472652
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=1.'] time: 0.06170177459716797",WillsSampler,30,40,8,1,0.0617017746
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=11.'] time: 0.14729785919189453",WillsSampler,30,40,8,11,0.1472978592
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=16.'] time: 0.215745210647583",WillsSampler,30,40,8,16,0.2157452106
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=21.'] time: 0.3511650562286377",WillsSampler,30,40,8,21,0.3511650562
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=31.'] time: 0.30613088607788086",WillsSampler,30,40,8,31,0.3061308861
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=41.'] time: 0.4715890884399414",WillsSampler,30,40,8,41,0.4715890884
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=51.'] time: 0.6221060752868652",WillsSampler,30,40,8,51,0.6221060753
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=6.'] time: 0.10184001922607422",WillsSampler,30,40,8,6,0.1018400192
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=8.'] time: 0.09772086143493652",WillsSampler,30,40,8,0,0.09772086143
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=16.', 'cluster_centers=1.'] time: 0.061514854431152344",WillsSampler,30,40,16,1,0.06151485443
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=16.', 'cluster_centers=11.'] time: 0.15076708793640137",WillsSampler,30,40,16,11,0.1507670879
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=16.', 'cluster_centers=16.'] time: 0.18736696243286133",WillsSampler,30,40,16,16,0.1873669624
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=16.', 'cluster_centers=21.'] time: 0.31453919410705566",WillsSampler,30,40,16,21,0.3145391941
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=16.', 'cluster_centers=31.'] time: 0.3293490409851074",WillsSampler,30,40,16,31,0.329349041
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=16.', 'cluster_centers=41.'] time: 0.40990376472473145",WillsSampler,30,40,16,41,0.4099037647
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=16.', 'cluster_centers=51.'] time: 0.5106239318847656",WillsSampler,30,40,16,51,0.5106239319
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=16.', 'cluster_centers=6.'] time: 0.10910320281982422",WillsSampler,30,40,16,6,0.1091032028
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=16.'] time: 0.06880474090576172",WillsSampler,30,40,16,0,0.06880474091
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=1.', 'cluster_centers=1.'] time: 0.07843208312988281",WillsSampler,30,60,1,1,0.07843208313
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=1.', 'cluster_centers=11.'] time: 0.14714598655700684",WillsSampler,30,60,1,11,0.1471459866
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=1.', 'cluster_centers=16.'] time: 0.17798781394958496",WillsSampler,30,60,1,16,0.1779878139
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=1.', 'cluster_centers=21.'] time: 0.2234058380126953",WillsSampler,30,60,1,21,0.223405838
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=1.', 'cluster_centers=31.'] time: 0.35859107971191406",WillsSampler,30,60,1,31,0.3585910797
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=1.', 'cluster_centers=41.'] time: 0.47469067573547363",WillsSampler,30,60,1,41,0.4746906757
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=1.', 'cluster_centers=51.'] time: 0.539614200592041",WillsSampler,30,60,1,51,0.5396142006
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=1.', 'cluster_centers=6.'] time: 0.09438800811767578",WillsSampler,30,60,1,6,0.09438800812
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=1.'] time: 0.302473783493042",WillsSampler,30,60,1,0,0.3024737835
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=2.', 'cluster_centers=1.'] time: 0.0518951416015625",WillsSampler,30,60,2,1,0.0518951416
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=2.', 'cluster_centers=11.'] time: 0.13785290718078613",WillsSampler,30,60,2,11,0.1378529072
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=2.', 'cluster_centers=16.'] time: 0.19833803176879883",WillsSampler,30,60,2,16,0.1983380318
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=2.', 'cluster_centers=21.'] time: 0.222930908203125",WillsSampler,30,60,2,21,0.2229309082
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=2.', 'cluster_centers=31.'] time: 0.3173189163208008",WillsSampler,30,60,2,31,0.3173189163
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=2.', 'cluster_centers=41.'] time: 0.38501787185668945",WillsSampler,30,60,2,41,0.3850178719
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=2.', 'cluster_centers=51.'] time: 0.5121650695800781",WillsSampler,30,60,2,51,0.5121650696
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=2.', 'cluster_centers=6.'] time: 0.11368918418884277",WillsSampler,30,60,2,6,0.1136891842
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=2.'] time: 0.19694805145263672",WillsSampler,30,60,2,0,0.1969480515
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=4.', 'cluster_centers=1.'] time: 0.06627488136291504",WillsSampler,30,60,4,1,0.06627488136
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=4.', 'cluster_centers=11.'] time: 0.17008686065673828",WillsSampler,30,60,4,11,0.1700868607
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=4.', 'cluster_centers=16.'] time: 0.1779041290283203",WillsSampler,30,60,4,16,0.177904129
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=4.', 'cluster_centers=21.'] time: 0.2413160800933838",WillsSampler,30,60,4,21,0.2413160801
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=4.', 'cluster_centers=31.'] time: 0.3696920871734619",WillsSampler,30,60,4,31,0.3696920872
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=4.', 'cluster_centers=41.'] time: 0.6889569759368896",WillsSampler,30,60,4,41,0.6889569759
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=4.', 'cluster_centers=51.'] time: 0.49104785919189453",WillsSampler,30,60,4,51,0.4910478592
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=4.', 'cluster_centers=6.'] time: 0.09556984901428223",WillsSampler,30,60,4,6,0.09556984901
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=4.'] time: 0.12006211280822754",WillsSampler,30,60,4,0,0.1200621128
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=8.', 'cluster_centers=1.'] time: 0.07428288459777832",WillsSampler,30,60,8,1,0.0742828846
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=8.', 'cluster_centers=11.'] time: 0.15164899826049805",WillsSampler,30,60,8,11,0.1516489983
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=8.', 'cluster_centers=16.'] time: 0.20243406295776367",WillsSampler,30,60,8,16,0.202434063
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=8.', 'cluster_centers=21.'] time: 0.22353386878967285",WillsSampler,30,60,8,21,0.2235338688
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=8.', 'cluster_centers=31.'] time: 0.30126166343688965",WillsSampler,30,60,8,31,0.3012616634
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=8.', 'cluster_centers=41.'] time: 0.41570186614990234",WillsSampler,30,60,8,41,0.4157018661
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=8.', 'cluster_centers=51.'] time: 0.8364317417144775",WillsSampler,30,60,8,51,0.8364317417
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=8.', 'cluster_centers=6.'] time: 0.13113999366760254",WillsSampler,30,60,8,6,0.1311399937
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=8.'] time: 0.0808100700378418",WillsSampler,30,60,8,0,0.08081007004
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=16.', 'cluster_centers=1.'] time: 0.08314800262451172",WillsSampler,30,60,16,1,0.08314800262
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=16.', 'cluster_centers=11.'] time: 0.15715408325195312",WillsSampler,30,60,16,11,0.1571540833
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=16.', 'cluster_centers=16.'] time: 0.19552302360534668",WillsSampler,30,60,16,16,0.1955230236
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=16.', 'cluster_centers=21.'] time: 0.3413817882537842",WillsSampler,30,60,16,21,0.3413817883
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=16.', 'cluster_centers=31.'] time: 0.32442593574523926",WillsSampler,30,60,16,31,0.3244259357
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=16.', 'cluster_centers=41.'] time: 0.5115492343902588",WillsSampler,30,60,16,41,0.5115492344
